"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 04 17:11:20 EEST 2026","Sat Jul 04 17:11:21 EEST 2026","762","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testUnauthorizedAccessToProfile_A033","testUnauthorizedAccessToProfile_A033",""
"passed","Sat Jul 04 17:53:08 EEST 2026","Sat Jul 04 17:53:23 EEST 2026","14935","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testExpandedPowerChartCloses_SLCG010","testExpandedPowerChartCloses_SLCG010",""
"passed","Sat Jul 04 17:41:06 EEST 2026","Sat Jul 04 17:41:09 EEST 2026","3159","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testDensityChartVisible_CG001","testDensityChartVisible_CG001","Asserts the Traffic Density Over Time line chart is rendered on /traffic."
"passed","Sat Jul 04 18:05:26 EEST 2026","Sat Jul 04 18:05:31 EEST 2026","4929","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testChartsVisibleAfterPagination_APCG008","testChartsVisibleAfterPagination_APCG008",""
"passed","Sat Jul 04 17:11:05 EEST 2026","Sat Jul 04 17:11:09 EEST 2026","3822","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testSidebarNavFromProfile_A064","testSidebarNavFromProfile_A064",""
"passed","Sat Jul 04 17:04:49 EEST 2026","Sat Jul 04 17:04:52 EEST 2026","2717","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SettingsTests","com.dxc.iot.tests.SettingsTests","testSettingsPageStructure_A024","testSettingsPageStructure_A024",""
"passed","Sat Jul 04 17:46:13 EEST 2026","Sat Jul 04 17:46:47 EEST 2026","33489","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testToastMessageFormat_TD020","testToastMessageFormat_TD020","Asserts toast contains 'above the limit' or 'below the limit'. Confirmed format: 'Traffic Density is above the limit — reading: X, threshold: Y'"
"passed","Sat Jul 04 16:56:28 EEST 2026","Sat Jul 04 16:57:34 EEST 2026","65602","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.LoginTests","com.dxc.iot.tests.LoginTests","testAccountLocked_A046","testAccountLocked_A046",""
"passed","Sat Jul 04 17:44:42 EEST 2026","Sat Jul 04 17:44:45 EEST 2026","2740","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testSpeedChartVisible_CG002","testSpeedChartVisible_CG002","Asserts the Average Speed Distribution bar chart is rendered on /traffic."
"passed","Sat Jul 04 17:21:05 EEST 2026","Sat Jul 04 17:23:05 EEST 2026","120603","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.NotificationTests","com.dxc.iot.tests.NotificationTests","testNotificationMessageFormat_NT010","testNotificationMessageFormat_NT010","Asserts message contains 'above/below the limit', 'reading:', and 'threshold:'. Confirmed format: 'Traffic Density is above the limit — reading: 449, threshold: 50 · Location'"
